Date;Mkt-RF;SMB;HML;RMW;CMA;RF
19900701;0.79;0.07;0.24;0.09;1.67;0.68
19900801;-10.76;-1.56;0.42;0.2;1.09;0.66
19900901;-12.24;1.68;0.34;0.47;2.07;0.6
19901001;9.58;-8.11;-3.29;1.3;1.28;0.68
19901101;-3.87;1.62;0.68;1.99;-2.6;0.57
19901201;1.03;-0.79;-1.35;1.15;-0.31;0.6
19910101;2.47;-1.62;0.21;1.43;-2.39;0.52
19910201;9.09;2.42;0.24;-1.96;-0.02;0.48
19910301;-2.37;3.73;-1.13;1;-1.25;0.44
19910401;0.6;0.2;0.38;0.29;0.42;0.53
19910501;0.75;-0.19;0.32;0.25;-0.15;0.47
19910601;-6.07;1.46;1.16;1.1;0.58;0.42
19910701;3.44;-1.79;-0.76;1.8;-0.72;0.49
19910801;-1.4;0.53;-0.97;1.69;-0.89;0.46
19910901;2.88;0.47;0.11;-0.55;0.4;0.46
19911001;1.36;0.21;-1.39;-1.68;-0.04;0.42
19911101;-5.14;0.71;-1.44;1.4;-0.4;0.39
19911201;6.18;-1.9;-3.09;1.94;-1.93;0.38
19920101;-2.2;3.94;2.73;0.13;0.94;0.34
19920201;-1.89;2.13;1.74;0.69;1;0.28
19920301;-5.48;0.73;1.97;1.07;0.54;0.34
19920401;-0.16;-2.09;2.27;3.69;2.15;0.32
19920501;4.13;0.47;0.47;-1.53;1.21;0.28
19920601;-3.76;0.32;0.83;1.08;0.47;0.32
19920701;-0.67;-2.2;-1.46;0.28;0.52;0.31
19920801;2.59;-2.54;-1.55;-0.32;0.9;0.26
19920901;-1.4;-0.02;-0.88;0.4;-0.24;0.26
19921001;-3.09;-0.12;-0.76;0.17;-2.22;0.23
19921101;1.84;0.02;-1.7;-0.2;-1.14;0.23
19921201;0.72;1.54;0.57;0.83;0.54;0.28
19930101;0.36;1.66;3.32;-1.32;1.37;0.23
19930201;1.95;-1.26;3.37;-1.26;2.48;0.22
19930301;6.77;0.28;1.87;-0.26;2.27;0.25
19930401;4.46;0.73;3.06;-2.34;2.87;0.24
19930501;3.13;4.54;-1.46;-1.5;0.18;0.22
19930601;-2.16;-0.89;0.42;-1.39;1.17;0.25
19930701;2.31;-1.29;1.16;-0.84;1.78;0.24
19930801;4.37;0.95;1;0.17;-0.31;0.25
19930901;-2.04;2.05;0.15;0.94;-1.43;0.26
19931001;1.11;-0.36;-0.94;0.6;-0.32;0.22
19931101;-6.31;1.61;-0.46;1.67;-2.39;0.25
19931201;4;0.27;2.38;-0.74;0.13;0.23
19940101;7.36;0.37;3.42;-2.44;3.6;0.25
19940201;-1.11;1.36;0.72;0.63;0.55;0.21
19940301;-3.64;0.65;1.8;-0.01;0.86;0.27
19940401;2.35;-0.12;1.19;-0.49;1.85;0.27
19940501;-0.2;-1.38;1.14;-1.14;1.2;0.31
19940601;0.16;-0.55;1.37;0.22;1.73;0.31
19940701;1.07;-0.31;0.45;0.86;-0.59;0.28
19940801;2.1;0.02;-1.88;1.43;-1.47;0.37
19940901;-2.85;1.84;-0.41;0.27;0.04;0.37
19941001;2.11;-1.85;-0.12;0.37;0.49;0.38
19941101;-5.14;-0.26;-0.43;0.61;-0.12;0.37
19941201;0.79;-0.07;-0.58;-0.3;0.75;0.44
19950101;-2.34;0.19;0.32;1;-0.25;0.42
19950201;0.57;0.4;0.02;0.96;-1.38;0.4
19950301;4.26;-2.04;-1.04;1.03;-0.21;0.46
19950401;2.67;-1.3;0.25;-1.1;0.94;0.44
19950501;-0.16;-0.1;0.49;1.06;-1.02;0.54
19950601;-0.07;2.16;-1.25;1.76;-3.05;0.47
19950701;4.37;0.72;-2.02;-0.96;-0.63;0.45
19950801;-1.83;2.1;-0.18;0.23;0.89;0.47
19950901;1.67;-1.22;-1.16;1.62;-0.49;0.43
19951001;-1.99;-1.6;-0.16;1.44;-0.14;0.47
19951101;2.65;-1.32;-0.17;-2.34;2.01;0.42
19951201;2.19;0.34;0.96;-1.71;1.79;0.49
19960101;1.09;-0.04;0.54;1.1;0.57;0.43
19960201;0.62;1.26;-0.63;1.39;-1.56;0.39
19960301;1.23;0.33;0.01;-0.65;0.32;0.39
