# Google Correlate
# Copyright  Google Inc.
#
# Exported data may be used for any purpose, subject to the Google Correlate Terms of Service (http://correlate.googlelabs.com/tos).
#
# If you choose to use the data, please attribute it to Google as follows: "Data Source: Google Correlate (http://correlate.googlelabs.com)".
#
# Each week begins on the Sunday (Pacific Time) indicated for the row
#
# Source: https://www.google.com/trends/correlate/csv?e=id%3Al77ctssZtP5&t=monthly&p=br

Date,IPCA,cortar grama,umbu,como matar larvas,compressor ar,cortador grama gasolina,roçadeira,veneno para tiririca,cortador de grama,pernilongo,rocadeira,acabar com moscas,como espantar moscas,como acabar com moscas,formigas pequenas,acabar com as moscas,espantar moscas,maquina de cortar grama a gasolina,suor excessivo na cabeça,maritaca,como acabar com as moscas,aparador de grama
2004-01-01,0.994,0.604,-0.152,-0.561,-0.096,-0.520,-0.373,-0.562,1.508,-0.285,0.524,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-0.205,-0.670,0.853
2004-02-01,0.435,0.565,-0.211,-0.561,0.841,-0.520,-0.244,-0.562,0.817,-0.715,0.535,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,0.069,-0.670,0.379
2004-03-01,-0.088,-0.070,0.871,-0.561,0.225,-0.520,-0.693,-0.562,-0.194,-0.591,-1.436,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-0.190,-0.670,-0.136
2004-04-01,-0.461,-0.461,0.122,-0.561,-2.508,-0.520,-0.634,-0.562,-0.007,0.122,-0.226,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-0.916,-0.670,-0.371
2004-05-01,0.061,-0.885,-0.451,-0.561,0.069,-0.520,-1.123,-0.562,-0.701,-0.877,-0.412,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-0.785,-0.670,-0.709
2004-06-01,0.808,-0.796,-0.544,-0.561,-0.102,-0.520,-1.167,-0.562,-0.818,-0.947,-1.436,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-0.901,-0.670,-1.641
2004-07-01,1.554,-1.860,-0.070,-0.561,-0.630,-0.520,-1.139,-0.562,-1.620,-1.145,-1.436,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-1.494,-0.670,-1.641
2004-08-01,0.733,-1.860,-0.022,-0.561,-0.193,-0.520,-1.054,-0.562,-1.151,-0.686,-1.436,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-1.043,-0.670,-1.641
2004-09-01,-0.611,-1.132,0.697,-0.561,-0.405,-0.520,-1.366,-0.562,-0.927,0.777,-1.436,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-0.871,-0.670,-1.641
2004-10-01,-0.200,-1.047,-0.201,-0.561,-0.133,-0.520,-1.208,-0.562,-1.089,-0.237,-0.602,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-0.398,-0.670,-1.641
2004-11-01,0.733,-0.588,-0.273,-0.561,0.476,-0.520,-0.795,-0.562,0.290,0.153,-0.388,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-0.531,-0.670,-0.081
2004-12-01,1.368,-0.129,-0.022,-0.561,0.722,-0.520,-0.605,-0.562,0.510,-0.553,-0.237,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-0.844,-0.670,-0.286
2005-01-01,0.323,0.650,0.182,-0.561,0.086,-0.520,0.133,-0.562,1.852,-0.204,0.282,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-0.622,-0.670,1.525
2005-02-01,0.360,0.309,-0.292,-0.561,0.436,-0.520,0.072,-0.562,1.790,-0.416,0.171,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,1.035,-0.670,0.457
2005-03-01,0.435,-0.105,0.010,-0.561,0.183,-0.520,-0.293,-0.562,0.311,-0.275,-0.190,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,0.058,-0.670,-0.395
2005-04-01,1.405,-0.405,0.186,-0.561,-0.225,-0.520,-0.806,-0.562,0.136,0.069,-0.026,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-0.390,-0.670,-0.360
2005-05-01,-0.013,-0.846,-0.159,-0.561,-0.375,-0.520,-0.782,-0.562,-0.478,-0.517,-0.418,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-1.317,-0.670,-0.775
2005-06-01,-1.917,-1.034,0.005,-0.561,-0.614,-0.520,-1.040,-0.562,-0.821,-0.572,-0.592,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-0.985,-0.670,-1.070
2005-07-01,-0.909,-1.165,-0.166,-0.561,-0.180,-0.520,-1.057,-0.562,-1.208,-0.943,-0.756,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,0.002,-0.670,-0.966
2005-08-01,-1.208,-1.173,-0.831,-0.561,-0.927,-0.520,-1.089,-0.562,-1.345,-0.517,-0.851,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-0.814,-0.670,-1.641
2005-09-01,-0.536,-0.959,-0.495,-0.561,-0.536,-0.520,-1.232,-0.562,-1.172,-0.738,-0.697,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-0.316,-0.670,-1.069
2005-10-01,0.957,-0.678,-0.095,-0.561,-0.714,-0.520,-1.082,-0.562,-0.433,-0.030,-0.781,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,0.014,-0.670,-0.538
2005-11-01,0.211,-0.000,-0.363,-0.561,-0.176,-0.520,-0.665,-0.562,-0.057,0.064,-0.313,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,0.068,-0.670,-0.297
2005-12-01,-0.499,-0.265,0.031,-0.561,0.141,-0.520,-0.668,-0.562,0.520,-0.547,-0.392,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,0.146,-0.670,-0.020
2006-01-01,0.360,0.266,0.298,-0.561,0.686,-0.520,-0.121,-0.562,0.847,-0.066,0.141,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-0.275,-0.670,0.225
2006-02-01,-0.312,0.505,-0.194,-0.561,-0.781,-0.520,-0.038,-0.562,1.013,-0.345,0.213,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,0.946,-0.670,0.208
2006-03-01,-0.237,0.542,-0.350,-0.561,-0.623,-0.520,-0.276,-0.562,0.661,-0.110,-0.360,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-0.313,-0.670,0.238
2006-04-01,-1.059,-0.245,-0.437,-0.561,-0.933,-0.520,-0.461,-0.562,0.143,-0.294,-0.283,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-0.954,-0.670,-0.258
2006-05-01,-1.469,-0.900,-0.120,-0.561,-0.803,-0.520,-0.730,-0.562,-0.613,-0.798,-0.579,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-0.728,-0.670,-0.712
2006-06-01,-2.626,-1.305,-0.854,-0.561,-0.984,-0.520,-1.110,-0.562,-1.110,-0.854,-0.962,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-0.908,-0.670,-1.221
2006-07-01,-1.133,-1.051,-0.923,-0.561,-0.392,-0.520,-1.112,-0.562,-1.144,-0.834,-0.533,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-0.705,-0.670,-1.003
2006-08-01,-1.656,-0.964,-0.533,-0.561,-1.052,-0.520,-1.247,-0.562,-1.125,-0.666,-0.969,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-0.731,-0.670,-1.183
2006-09-01,-1.059,-1.013,-0.865,-0.561,-0.107,-0.520,-1.322,-0.562,-0.967,-0.712,-1.023,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-1.064,-0.670,-1.070
2006-10-01,-0.611,-0.474,-1.051,-0.561,-0.763,-0.520,-0.994,-0.562,-0.392,-0.513,-0.596,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-0.585,-0.670,-0.543
2006-11-01,-0.685,-0.340,-1.161,-0.561,-0.592,-0.520,-0.725,-0.562,-0.171,-0.522,-0.542,-0.728,-0.595,-0.689,-0.704,-0.684,-0.285,-0.812,-0.661,-0.428,-0.670,-0.284
2006-12-01,-0.051,0.065,-0.180,-0.561,0.006,-0.520,-0.440,-0.562,0.696,-0.492,-0.503,-0.728,-0.595,-0.689,-0.704,-0.684,-0.219,-0.812,-0.661,-0.800,-0.670,0.739
2007-01-01,-0.200,0.799,-0.594,-0.561,0.148,-0.520,0.113,-0.562,1.538,-0.094,0.400,-0.728,-0.595,-0.689,-0.704,-0.684,0.080,-0.812,-0.661,0.031,-0.670,1.135
2007-02-01,-0.200,0.411,-0.518,-0.561,-0.217,-0.520,0.126,-0.562,1.225,-0.380,0.371,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-0.020,-0.670,0.567
2007-03-01,-0.461,-0.214,-0.824,-0.561,-0.336,-0.520,-0.355,-0.562,0.218,-0.263,-0.141,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-0.639,-0.670,-0.071
2007-04-01,-0.909,-0.255,-0.713,-0.561,-0.566,-0.520,-0.568,-0.562,-0.302,-0.450,-0.344,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-0.844,-0.670,-0.442
2007-05-01,-0.797,-0.999,-0.698,-0.561,-0.908,-0.520,-0.751,-0.562,-0.762,-0.805,-0.542,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-0.723,-0.670,-0.878
2007-06-01,-0.797,-1.154,-0.605,-0.561,-1.004,-0.520,-1.127,-0.562,-1.177,-0.960,-0.640,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-1.221,-0.670,-1.023
2007-07-01,-0.947,-1.201,-0.872,-0.561,-1.128,-0.520,-1.134,-0.562,-1.201,-0.863,-0.851,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-0.539,-0.670,-1.229
2007-08-01,-0.088,-1.345,-0.699,-0.561,-1.187,-0.520,-1.280,-0.562,-1.331,-0.838,-0.943,-0.728,-0.595,-0.689,-0.704,-0.684,-0.669,-0.812,-0.661,-0.754,-0.670,-1.230
