# Google Correlate
# Copyright  Google Inc.
#
# Exported data may be used for any purpose, subject to the Google Correlate Terms of Service (http://correlate.googlelabs.com/tos).
#
# If you choose to use the data, please attribute it to Google as follows: "Data Source: Google Correlate (http://correlate.googlelabs.com)".
#
# Each week begins on the Sunday (Pacific Time) indicated for the row
#
# Source: https://www.google.com/trends/correlate/csv?e=id%3A6KdHvCJ42Mw&t=monthly&p=br

Date,PriceLevelNegative,arquivos,instalando,info,programa de,letra musicas,letras das,de humor,de web,revista,.iso,alterando,digerati,xp,ecs,problemas com,em rede,media player,letras e,line,inserindo,fireworks,keygen,contrução,serial,fots,windows xp,editora abril,surforeggae,espaço rap,.dat,media,tutorial after,player,guia,lexmark,site musicas,tutorial photoshop,configurando,download do programa,listas de,leadership,site revista,lista telefonica,window xp,área de trabalho,configuração,site em flash,.avi,win xp,modelo carta,menus,windows media,pensamentos,moteis,tribunal de justiça do,dot net,programas para,vb6,windows media player,cifras,pensamentos de,site de piadas,serial keygen,salas de,instalação windows xp,download de driver,programas,hotel in,testes,on,msdn,alonegocios,microsiga,convertendo,swf,santa geração,tribunal de justiça de,raid,site download,revista quatro rodas,sites de lojas,tuner,de nomes,andima,justiça do,xp professional,macoratti,teh,tribunal de justiça,quiroga,o linux,todeschini,driver para,jogo de damas,usb camera,tux,rhesus,redirecionar,site da igreja,testes de
2004-01-01,1.487,1.903,1.549,1.479,1.641,1.467,1.291,1.369,2.094,1.956,1.587,0.534,1.801,1.962,1.832,1.735,2.128,1.480,1.990,1.151,1.155,1.890,2.139,1.274,2.033,1.659,1.974,3.043,1.259,1.376,2.022,1.209,1.473,1.546,2.368,0.914,1.058,1.168,1.929,1.904,1.855,1.631,2.429,1.956,1.778,2.047,1.935,2.192,2.909,1.797,1.661,2.171,1.670,2.531,2.235,0.991,1.600,2.014,1.532,1.674,2.233,0.621,1.430,2.052,2.152,1.685,2.254,2.395,2.070,1.877,1.418,1.676,0.863,1.528,1.198,2.087,1.651,0.874,1.407,2.055,2.391,1.325,2.406,1.472,1.278,0.927,1.809,1.995,1.073,0.763,2.446,0.625,2.044,2.013,2.685,1.905,1.216,0.741,1.701,1.539,1.350
2004-02-01,1.464,1.682,1.642,1.571,1.671,1.928,1.355,1.345,2.237,2.107,1.199,1.789,1.492,1.861,1.974,1.440,1.795,1.168,2.026,0.987,1.571,1.968,1.852,1.277,1.905,1.330,1.969,1.871,1.167,1.212,2.445,1.231,1.244,1.025,1.814,0.888,1.305,0.918,2.063,1.677,1.910,1.494,2.340,1.494,1.225,2.102,1.907,1.035,2.162,1.730,1.831,2.466,1.351,2.229,1.514,1.207,1.758,1.359,2.199,1.382,1.969,0.694,1.535,1.015,1.141,1.083,1.044,2.113,1.518,1.414,1.178,1.595,0.927,1.329,2.047,1.864,1.826,1.233,1.597,1.960,1.515,1.447,1.676,1.961,2.074,1.171,1.621,2.015,1.573,1.103,1.444,1.391,1.477,1.865,2.311,0.520,1.207,1.470,1.953,0.341,1.086
2004-03-01,1.447,1.497,1.450,1.341,1.522,0.892,1.193,1.431,2.092,1.995,0.697,1.680,1.578,1.515,1.695,1.194,1.965,0.900,1.774,0.729,1.922,1.359,1.384,1.682,1.612,1.343,1.559,1.846,0.635,1.037,1.595,1.483,0.824,0.664,1.053,0.925,0.920,1.137,1.638,1.603,1.437,1.305,2.385,0.903,1.392,1.973,1.712,1.694,1.736,1.511,1.171,1.854,1.116,1.810,1.166,1.558,1.331,1.220,1.329,1.095,1.724,0.973,0.883,2.179,1.156,2.070,0.649,2.016,1.072,1.375,0.889,1.398,0.767,1.584,1.748,1.752,1.084,1.913,1.487,1.596,1.623,0.589,1.484,1.486,1.236,1.386,1.587,1.320,0.506,1.756,1.252,1.695,1.064,1.529,1.202,1.516,2.373,1.405,1.248,1.268,1.242
2004-04-01,1.433,1.605,1.299,1.383,1.614,1.620,1.369,1.393,2.179,1.896,0.929,1.689,2.135,1.677,1.449,1.664,1.686,1.348,1.885,0.839,1.649,1.764,1.827,1.478,1.839,1.568,1.745,1.726,0.651,0.872,1.968,1.686,1.023,1.039,1.164,0.733,1.468,1.049,1.496,1.561,1.499,0.953,1.899,0.921,1.387,1.916,1.754,1.796,1.864,1.833,0.971,2.422,1.522,1.582,1.388,0.997,1.117,1.376,1.450,1.554,1.905,1.352,1.480,1.166,1.127,0.849,1.081,2.202,2.038,1.457,1.051,1.398,0.684,1.509,1.038,1.935,0.971,0.861,1.561,2.313,0.966,1.625,2.040,1.146,1.079,0.838,1.781,2.129,1.125,0.717,1.236,1.560,1.202,1.470,1.614,0.791,1.843,1.427,1.091,1.152,1.427
2004-05-01,1.414,1.499,1.205,1.302,1.452,1.633,1.138,1.356,1.448,2.056,1.147,1.554,2.048,1.601,1.449,1.191,1.761,1.003,1.645,0.732,1.645,1.611,1.398,1.557,1.655,1.519,1.679,1.540,0.547,1.459,0.857,1.372,1.306,0.737,1.089,0.772,0.798,1.001,1.607,0.951,1.654,0.752,2.288,0.769,1.199,1.682,1.596,1.832,1.881,1.471,0.999,1.934,1.179,1.388,1.300,0.961,1.595,0.988,1.187,1.170,1.603,0.913,1.046,1.195,0.721,0.911,0.678,1.937,2.091,1.564,0.897,1.436,0.560,1.800,1.240,1.853,1.144,0.760,1.300,1.467,1.435,0.895,1.591,0.991,1.321,0.835,1.285,1.864,0.642,0.814,1.303,1.584,0.952,1.198,1.379,0.963,1.455,0.955,1.585,0.213,1.607
2004-06-01,1.388,1.590,1.358,1.289,1.415,1.297,1.110,1.651,1.508,1.863,1.396,1.560,1.255,1.545,1.624,1.337,1.559,1.209,1.660,0.799,1.643,1.686,1.343,1.681,1.742,1.577,1.588,1.605,1.437,1.455,1.345,1.413,0.729,0.979,1.303,0.820,1.660,1.395,1.802,1.092,1.332,0.833,1.553,1.014,0.847,1.625,1.595,1.507,1.981,1.544,1.254,1.897,1.396,1.329,2.203,0.996,1.716,1.169,1.402,1.402,1.770,1.128,1.293,1.126,1.282,1.137,0.930,1.997,1.771,1.633,0.857,1.164,0.984,1.509,1.822,2.022,1.730,0.662,1.520,1.566,1.345,1.088,1.666,0.794,1.464,0.862,1.420,2.127,0.491,0.745,1.300,1.521,1.121,1.289,1.958,0.564,1.674,0.813,1.343,0.837,1.443
2004-07-01,1.353,1.800,1.709,1.657,1.500,0.831,1.356,1.946,1.569,1.795,1.281,1.868,1.873,2.010,1.736,1.225,2.055,1.947,1.607,1.065,1.723,2.129,2.142,1.397,2.280,2.094,2.013,1.575,1.314,1.148,2.349,1.757,1.212,1.998,1.554,1.659,1.360,1.900,2.046,1.812,1.510,0.984,1.399,1.431,1.851,2.214,1.710,2.007,2.030,2.066,1.056,2.304,1.984,1.295,1.641,0.937,1.886,1.520,1.922,2.006,1.993,0.893,1.227,1.735,1.771,2.119,1.484,2.093,1.699,1.602,1.223,2.060,1.365,1.480,1.751,2.158,1.659,0.814,1.818,2.364,1.741,1.797,2.132,1.111,0.993,0.817,1.636,1.533,0.617,0.667,2.282,1.330,1.575,1.353,2.234,1.617,1.630,0.491,1.986,0.893,1.373
2004-08-01,1.327,1.427,1.354,1.218,1.413,1.504,0.996,1.823,1.437,1.405,0.862,1.377,1.784,1.541,1.370,1.095,1.283,1.183,1.359,0.876,0.997,1.581,1.336,1.348,1.586,1.288,1.565,1.348,1.660,1.360,1.947,1.405,1.939,0.959,1.115,1.428,0.590,0.958,1.600,1.238,1.231,0.893,1.266,1.063,1.751,1.094,1.570,1.366,1.310,1.554,1.328,1.886,1.325,1.171,0.971,1.035,2.125,0.909,1.752,1.343,1.513,0.970,1.635,1.389,1.002,1.483,0.973,1.624,1.627,1.169,0.905,1.708,1.157,1.161,1.731,1.793,1.518,0.927,1.059,0.876,0.948,0.890,1.815,0.862,1.686,0.932,1.346,1.644,0.638,0.771,1.690,1.250,1.034,0.867,1.618,1.229,1.232,1.039,1.480,0.553,1.018
2004-09-01,1.315,1.436,1.295,1.191,1.460,1.583,1.035,1.729,1.458,1.405,0.790,1.229,1.410,1.649,1.088,1.329,1.620,1.557,1.180,0.840,1.828,1.650,1.152,1.476,1.538,1.362,1.646,1.815,1.096,1.173,1.772,1.683,1.292,1.056,1.122,1.099,0.910,1.129,1.595,1.050,1.218,1.105,1.567,1.186,1.245,1.595,1.305,0.901,1.590,1.683,1.242,1.616,1.700,1.345,1.349,1.293,1.362,1.073,1.630,1.740,1.629,1.294,1.922,1.144,1.171,1.897,1.333,1.763,1.274,1.477,0.852,1.643,0.842,1.369,1.426,1.497,1.075,0.802,1.096,1.323,1.311,1.377,1.203,1.049,1.265,1.179,1.287,1.393,0.663,0.973,1.542,1.404,1.855,0.938,1.553,1.037,0.387,0.846,1.501,0.960,1.348
2004-10-01,1.298,1.394,1.340,1.054,1.273,1.028,1.029,1.382,1.336,1.372,1.158,1.115,1.791,1.587,1.356,1.345,1.655,1.470,1.243,0.827,1.291,1.652,1.240,1.471,1.620,1.523,1.549,1.693,1.405,1.515,1.589,1.539,1.826,1.123,1.109,1.199,0.963,1.080,1.427,1.425,1.152,1.037,1.474,1.258,1.358,1.163,1.444,1.463,1.561,1.658,1.376,1.544,1.587,1.337,1.446,1.235,1.262,0.987,1.440,1.622,1.609,1.093,1.969,1.468,1.483,1.462,1.879,1.661,1.257,1.370,0.854,1.473,0.783,1.030,1.353,1.634,0.988,0.949,0.943,1.106,1.141,1.341,1.404,0.917,0.743,1.059,1.414,1.565,1.174,1.070,1.299,1.194,1.571,1.030,1.428,1.480,0.897,0.616,1.194,0.403,1.311
